epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.637384,1.91629,2.84824,2.13571,0.01,0.66667,0.08248,0.01848,2.89778,2.65031,2.58611,0.0001,0.0001,0.0001
2,0.995415,1.80763,2.86666,2.01667,0.01,0.66667,0.08601,0.01955,2.91874,2.64217,2.60715,0.000215644,0.000215644,0.000215644
3,1.34901,1.62201,2.7989,1.91385,0.01,0.66667,0.08601,0.01955,2.91874,2.64217,2.60715,0.000326536,0.000326536,0.000326536
4,1.68894,1.78479,2.88132,1.90972,0.01167,0.77778,0.08032,0.01773,2.8939,2.606,2.59003,0.000432676,0.000432676,0.000432676
5,2.01588,2.27581,2.93562,2.37006,0.01167,0.77778,0.08032,0.01773,2.8939,2.606,2.59003,0.000534064,0.000534064,0.000534064
6,2.34603,2.07066,2.90285,2.17462,0.01167,0.77778,0.08032,0.01773,2.8939,2.606,2.59003,0.0006307,0.0006307,0.0006307
7,2.67764,2.22264,2.98089,2.13547,0.01167,0.77778,0.08032,0.01773,2.8939,2.606,2.59003,0.000722584,0.000722584,0.000722584
8,3.00159,1.97501,2.72985,2.08302,0.01167,0.77778,0.08032,0.01773,2.8939,2.606,2.59003,0.000809716,0.000809716,0.000809716
9,3.32579,1.85368,2.86209,2.024,0.01167,0.77778,0.08032,0.01773,2.8939,2.606,2.59003,0.000892096,0.000892096,0.000892096
10,3.66094,2.28684,2.92919,2.25154,0.01167,0.77778,0.09843,0.0176,2.44678,2.67719,2.4992,0.000969724,0.000969724,0.000969724
11,3.98179,1.7941,3.0106,1.99527,0.01167,0.77778,0.09843,0.0176,2.44678,2.67719,2.4992,0.0010426,0.0010426,0.0010426
12,4.30412,2.38761,2.77557,2.43074,0.01167,0.77778,0.09843,0.0176,2.44678,2.67719,2.4992,0.00111072,0.00111072,0.00111072
